     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   4484.55136  9.642  9.600  9.623  9.643  9.635    0.051 0.062 0.048 0.045 0.055  B 253447
   4486.62047  9.778  9.820  9.820  9.778  9.763    0.047 0.076 0.048 0.042 0.048  B 253702
   4489.57462  9.157  9.174  9.167  9.160  9.159    0.042 0.069 0.049 0.038 0.038  B 254040
   4492.56474  9.837  9.860  9.811  9.842  9.840    0.034 0.038 0.038 0.030 0.031  A 254374
   4494.59371  9.834  9.793  9.812  9.835  9.843    0.042 0.106 0.079 0.039 0.037  D 254633
   4498.58986  9.457  9.443  9.508  9.468  9.458    0.042 0.048 0.045 0.038 0.039  A 254889
   4501.56952  9.917 10.075  9.983  9.935  9.912    0.047 0.077 0.052 0.042 0.047  B 255262
   4504.56500  9.191  9.196  9.179  9.197  9.197    0.043 0.052 0.043 0.037 0.044  A 255685
   4511.54205  9.888  9.853  9.864  9.883  9.892    0.042 0.072 0.046 0.037 0.040  B 256653
   4515.54322  9.140  9.054  9.149  9.138  9.147    0.055 0.084 0.054 0.049 0.054  B 256986
   4518.53086  9.813  9.848  9.784  9.815  9.826    0.041 0.055 0.043 0.035 0.039  A 257374
   4521.52477  9.296  9.311  9.325  9.304  9.299    0.039 0.070 0.045 0.035 0.035  B 257805
   4524.51554  9.834  9.845  9.838  9.839  9.837    0.042 0.058 0.043 0.035 0.040  A 258251
   4527.51201  9.617  9.630  9.595  9.618  9.629    0.048 0.077 0.051 0.043 0.048  B 258691
   4531.50518  9.774  9.765  9.795  9.784  9.779    0.043 0.075 0.048 0.040 0.042  B 259295
   4676.92285  9.873  9.867  9.848  9.879  9.868    0.044 0.053 0.044 0.038 0.042  A 279573
   4719.84476  9.811  9.819  9.829  9.815  9.819    0.035 0.039 0.038 0.031 0.032  A 285021
   4725.80153  9.944  9.962  9.936  9.938  9.926    0.037 0.051 0.039 0.032 0.034  A 285794
   4737.82090  9.582  9.615  9.575  9.585  9.586    0.043 0.046 0.041 0.038 0.043  A 287137
   4748.74538  9.196  9.190  9.151  9.178  9.184    0.034 0.039 0.036 0.029 0.031  A 288578
   4751.74742  9.820  9.841  9.858  9.823  9.808    0.129 0.083 0.090 0.103 0.159  D 288849
